wienerW1,wienerW2,apodizationRadius,hifiDenominatorScaleW1,hifiDenominatorScaleW2,score,expandedToCenterRms,sidebandMeanToCenterRms,sidebandMinToCenterRms,sidebandBalance,totalEnergyRatioToInput,p99GainRatioToInput
0.15,0.06,1.25,0.8,1.2,1.07579912906865,0.226345237991518,0.2508350696845,0.245463544908838,0.978585431525114,0.287110439820075,0.29601688225947
0.2,0.04,1.75,1,1.2,1.07568634346671,0.222325201662989,0.245601737584809,0.240213314446709,0.978060321595898,0.180809535907586,0.227952416771011
0.15,0.02,0.75,0.6,1.2,1.07552273044607,0.214447223091662,0.23737355478075,0.232257989691555,0.978449304961878,0.502450722911832,0.367234444562109
0.2,0.03,1.25,1,1,1.07542051815175,0.223460556986957,0.246931370328794,0.241533364292892,0.978139650589089,0.260504319702193,0.273839760208067
0.2,0.03,1.5,1,0.8,1.07508439041076,0.223813219028524,0.247264309075054,0.241846040892991,0.978087140023035,0.407077816681368,0.343470770603713
0.2,0.02,1.25,0.8,1.2,1.0750721975192,0.213018628125487,0.234682133750364,0.229415516195085,0.977558506601608,0.277799955687042,0.270279541929214
0.2,0.02,1.5,0.8,1,1.07497538531739,0.216925170360087,0.238920662818089,0.233547370538567,0.977510139909443,0.400622938411579,0.32909599454393
0.2,0.04,1.75,1,0.8,1.07491875614922,0.206132246968109,0.227910913598668,0.222936117414363,0.978172189713278,0.404238010453487,0.321218141764611
0.15,0.06,1,0.8,1,1.07477640093195,0.202318555786867,0.224600930938991,0.219855868340138,0.978873361837747,0.409530918095022,0.322146518183462
0.2,0.06,1.75,1.2,1,1.07452448553118,0.204555619468583,0.226403490241729,0.2214880256025,0.978288918452713,0.180923823555752,0.216285470915256
0.15,0.04,1.25,0.6,1.2,1.07441594638171,0.219819163313905,0.243165628234498,0.237894079490415,0.97832116001609,0.503432541112203,0.376836238911762
0.2,0.02,1.25,0.8,1,1.07436862990053,0.208997407688997,0.230386764867959,0.225241854273033,0.977668376055043,0.399471007393077,0.318611572636603
0.2,0.02,0.75,1,1.2,1.07435103654957,0.204036498533263,0.225866499916337,0.221000726514382,0.978457303744656,0.179616757581921,0.210294805196548
0.15,0.1,1.5,1.2,1,1.07394950134992,0.202655077250965,0.224635000429922,0.219793784598391,0.978448523951007,0.183005674222,0.219308546695233
0.2,0.015,1,0.8,1.2,1.07393977711015,0.20935337418948,0.230586877573171,0.225401296206392,0.977511376964055,0.27739154246143,0.266432355020237
0.2,0.02,1,1,0.8,1.07379640555951,0.226131104346997,0.249816825187303,0.244344061970499,0.978092895813961,0.407430644439163,0.346404924174096
0.2,0.02,1.5,0.8,1.2,1.07363825648996,0.221132279193977,0.243410829634071,0.23790961025461,0.977399446903282,0.278631234017492,0.279664591564185
0.2,0.02,1.75,0.8,1,1.07342649780016,0.221854431949043,0.244222741365733,0.238706793724535,0.977414275139361,0.401359354542675,0.33574684960001
0.15,0.06,1.75,0.8,1,1.07341551507955,0.228707081118255,0.253183276474329,0.247702523720709,0.978352627274828,0.413634141251469,0.359518938576688
0.2,0.015,1.25,0.8,1,1.07339031314348,0.22102730313468,0.243196431403641,0.23768135699267,0.977322552065666,0.401163462236967,0.336066379629351
0.2,0.06,1.25,1.2,1.2,1.07334489995941,0.202143729772411,0.223980315996227,0.21917111957643,0.978528486316281,0.125595602280842,0.177847988662872
0.2,0.04,1.25,1,1,1.07333856109444,0.20306075651667,0.224714190794657,0.219852474126949,0.978364888080654,0.258488991618769,0.253085988486471
0.15,0.04,1,0.6,1.2,1.0732298393703,0.20559382622768,0.227778988404115,0.222905191428005,0.978602956268016,0.500808399663256,0.354863799790206
0.2,0.03,1.75,0.8,1.2,1.0728753251095,0.205472019891869,0.226622643885106,0.221584432351284,0.977768278370378,0.277080659920473,0.262020233908831
0.15,0.04,0.75,1,0.8,1.07287272627256,0.233606956187486,0.259918357947292,0.254569882452626,0.979422478901045,0.417900035704969,0.364330282443299
0.2,0.015,1,0.8,1,1.07280710507957,0.206237981718112,0.227285207682152,0.222197620982919,0.977615847722269,0.399024589304964,0.315695481180497
0.2,0.02,0.75,1.2,1,1.07278459919284,0.2299789394666,0.254685709040805,0.249222861471789,0.978550631719422,0.182945980598902,0.236380243742554
0.2,0.03,1,1,0.8,1.07272060823441,0.201788217199979,0.223463063878147,0.218664049067107,0.978524348821886,0.403800600474021,0.312714760074807
0.2,0.04,1.5,1.2,0.8,1.07255214688066,0.229356280317049,0.253749103380894,0.248247144906681,0.978317328412568,0.285697431558264,0.29680311275568
0.2,0.03,1,1.2,0.8,1.07241637870605,0.230423925200716,0.255176155713605,0.249702937278924,0.978551215260003,0.285919007737835,0.295802513918271
0.2,0.03,0.75,1.2,0.8,1.07237836038278,0.199253394715922,0.221390245648337,0.216775664030244,0.979156346276328,0.282665082647688,0.259398995345487
0.15,0.03,1,0.6,1.2,1.07212940734751,0.225057131050103,0.24894427368172,0.243550752902372,0.978334425212593,0.504492251137353,0.38316421410697
0.15,0.06,1,1,1,1.0719238182899,0.232978362142866,0.258676661941046,0.253229405110522,0.978941831127523,0.267084631769913,0.2933365011167
0.15,0.1,1.75,1,1.2,1.07192072240371,0.200931777030836,0.222577518651499,0.21775446518276,0.978330904675549,0.182367714961032,0.217074714965951
0.2,0.04,1.5,1,0.8,1.07187880204144,0.201715242608435,0.223138145888484,0.218288051499981,0.978264162905936,0.403596805766884,0.315163706045687
0.15,0.03,0.75,0.8,1,1.07167582117026,0.233297083825581,0.259021665061993,0.253595318583343,0.979050607688158,0.415017104488775,0.360706935000711
0.2,0.03,1.75,1,0.8,1.07163942264784,0.228797504555893,0.252641861059684,0.247082054283611,0.977993327183577,0.407863283521977,0.35063501910858
0.2,0.015,1.25,0.8,1.2,1.0715286482097,0.224418203201458,0.24678503975714,0.241162521929516,0.977216942189213,0.278923054025186,0.28349365606889
0.2,0.03,1.25,1,1.2,1.0712536030176,0.229496897251782,0.253464530937855,0.24789948800632,0.978044095909819,0.18132604101162,0.233486901455625
0.2,0.02,0.75,1,1,1.07124722639694,0.200130635096298,0.221677210562127,0.216927072021758,0.978571822839508,0.258308245832836,0.247833529495408
0.2,0.04,1.25,1.2,1,1.07121761679618,0.231291342347705,0.255976238438626,0.250449155748404,0.978407829086262,0.183021265910868,0.238148061737744
0.2,0.06,1.5,1.2,1,1.07105985030311,0.200227858186058,0.221721780570112,0.21692815225316,0.978379984570637,0.180641141517598,0.212338705451775
0.2,0.02,1.75,0.8,1.2,1.07084748888092,0.226177763973567,0.248834622174082,0.243186845715722,0.97730309227464,0.279162825028041,0.285516047721158
0.15,0.06,1.25,1,0.8,1.07070693086878,0.233310749271837,0.258729832053676,0.253211019467445,0.978669593133404,0.417061220383301,0.368308932073211
0.15,0.015,0.75,0.6,1.2,1.07051000985583,0.226293142344566,0.249998319969671,0.244519993837407,0.97808654820989,0.504570364077921,0.385962497405317
