wienerW1,wienerW2,apodizationRadius,hifiDenominatorScaleW1,hifiDenominatorScaleW2,score,expandedToCenterRms,sidebandMeanToCenterRms,sidebandMinToCenterRms,sidebandBalance,totalEnergyRatioToInput,p99GainRatioToInput
0.2,0.06,1.5,1,1.2,1.04561811497438,0.184921946794202,0.204677310352391,0.200236365464395,0.978302700576093,0.178198980436676,0.196326186348698
0.15,0.1,1.5,1.2,0.8,1.04541857117997,0.184554734946656,0.204516890933564,0.200091050134793,0.97835953412665,0.283280522226233,0.253172245883577
0.15,0.06,1.75,1,0.8,1.04481410208828,0.247019249733668,0.273569792085108,0.267667406284502,0.978424570360568,0.419428632481581,0.388131009786991
0.15,0.1,1,1.2,1,1.04463005689225,0.183543793421608,0.203904438895064,0.199595659014824,0.978868631288319,0.181775495465365,0.200818973792996
0.2,0.04,1.5,0.8,1.2,1.0436270634858,0.184468096305575,0.203849501473091,0.199383862565158,0.978093451906121,0.275037404821018,0.239344686098391
0.2,0.02,1.5,0.8,0.8,1.04321781148899,0.211515472901415,0.233126854985464,0.227914700699578,0.977642411526504,0.624766785813539,0.401911159840781
0.15,0.1,1.5,1,1,1.0429721196028,0.183539080504096,0.203373995847709,0.198972232285681,0.978356310777689,0.260507401759803,0.241346464340513
0.2,0.02,1.75,0.8,0.8,1.04290228300745,0.216296513687296,0.238273291670087,0.232923388218055,0.977547196269738,0.625860621780671,0.410300500768118
0.2,0.015,1.25,0.8,0.8,1.04257637757099,0.216594016294155,0.238489945355379,0.233113365989516,0.977455739872592,0.625835226562268,0.411587899598107
0.2,0.02,1.25,0.8,0.8,1.04065421290006,0.203824832005771,0.224842120190413,0.219850525758493,0.97779955807349,0.623055078093179,0.388875780786481
0.2,0.015,0.75,1.2,1.2,1.04018590317583,0.248144250240451,0.2740704661943,0.268054654838207,0.978050129079473,0.12792735827853,0.211009372096786
0.2,0.04,1.5,1.2,1.2,1.04016853371066,0.248172479579469,0.274299235286198,0.268315438057928,0.978185147975252,0.127982192312896,0.211298827896647
0.2,0.04,1,1,0.8,1.04014916590948,0.182175611483718,0.201991081989064,0.19768717867283,0.978692607248536,0.400913904348295,0.288044291198364
0.15,0.06,1.5,0.8,0.8,1.04012364176826,0.21046630201418,0.233156771930498,0.228129606871517,0.978438691626424,0.641278726237528,0.418969785801383
0.15,0.06,1.75,0.8,0.8,1.04012200634129,0.215005666168594,0.238069070799404,0.232914266622888,0.978347442785379,0.642377037621643,0.426823676338912
0.2,0.015,1.5,0.6,1.2,1.03993071710214,0.184738340399776,0.203014033620313,0.198359741451695,0.977074037269151,0.478212225866191,0.312611824196481
0.2,0.06,1.25,1.2,0.8,1.03979668733512,0.18215384527747,0.201896718043648,0.197558246998605,0.978511433533528,0.280254510512937,0.245139921603159
0.2,0.04,1.75,0.8,1,1.03946746133273,0.18277233945587,0.201947943312157,0.197515024378732,0.978049199904089,0.395769198032178,0.285798839093463
0.2,0.015,1,0.8,0.8,1.03930412582138,0.20216290050176,0.222952712986976,0.217991448387626,0.977747458046677,0.62262618892972,0.387126622041003
0.2,0.015,1.5,0.8,0.8,1.03875702283195,0.224874027033929,0.247392573512657,0.241775766190337,0.977295974399841,0.627769695746187,0.425869377418617
0.15,0.03,0.75,0.8,0.8,1.03854401584684,0.2248028973855,0.249763140993374,0.24456062461253,0.979170199573272,0.64631785666168,0.435441494947753
0.15,0.04,0.75,0.8,0.8,1.03791758394077,0.201471454863523,0.224170287864178,0.219549779301983,0.979388398854202,0.640536212938535,0.397166615537784
0.2,0.06,1,1.2,1,1.03784832211049,0.181065858126371,0.200959968883679,0.196700447903989,0.978804131970407,0.179456244226082,0.194155511591355
0.15,0.06,1.25,1,1,1.03780603176737,0.248861325877562,0.275890729141166,0.270003593515478,0.978661350296131,0.268832660008712,0.311864594516405
0.2,0.02,1.25,1,1,1.03778954921993,0.248690056973163,0.27409653761402,0.267973036816721,0.977659328167356,0.263078579700466,0.301875946827934
0.15,0.06,1.25,0.8,0.8,1.03731638916566,0.203153186606225,0.225236956855818,0.220414457989725,0.978589220288659,0.639554846821465,0.405986463083787
0.2,0.03,0.75,1,1,1.03702165456935,0.180608094142662,0.200548355604234,0.1963424302609,0.979027874196914,0.256634537402914,0.226743708645027
0.2,0.03,1,0.8,1.2,1.03595855997044,0.181114274517607,0.200335091371741,0.195987819469973,0.978299997908498,0.274808886312891,0.234286079985517
0.2,0.06,1.75,1,1,1.03540424375271,0.180872207683553,0.200127314232786,0.195765706156483,0.978205833156638,0.256120678742382,0.232009617811933
0.2,0.04,0.75,1.2,0.8,1.03501938355565,0.179450389422188,0.199647825938989,0.195523820108428,0.979343597601602,0.280652420754463,0.238145447182468
0.2,0.015,1.75,0.8,0.8,1.03455566761212,0.230023544110125,0.252925064940045,0.247158171341128,0.977199200876813,0.629007099604431,0.434894351871057
0.15,0.02,1,0.6,1.2,1.0331998505196,0.248967297296505,0.274644109279298,0.268553530611619,0.977823741846633,0.509183530030499,0.421915496882341
